"ozone","wind","temp","month","day","solar_r"
41,7.4,67,5,1,190
36,8,72,5,2,118
12,12.6,74,5,3,149
18,11.5,62,5,4,313
,14.3,56,5,5,
28,14.9,66,5,6,
23,8.6,65,5,7,299
19,13.8,59,5,8,99
8,20.1,61,5,9,19
,8.6,69,5,10,194
7,6.9,74,5,11,
16,9.7,69,5,12,256
11,9.2,66,5,13,290
14,10.9,68,5,14,274
18,13.2,58,5,15,65
14,11.5,64,5,16,334
34,12,66,5,17,307
6,18.4,57,5,18,78
30,11.5,68,5,19,322
11,9.7,62,5,20,44
1,9.7,59,5,21,8
11,16.6,73,5,22,320
4,9.7,61,5,23,25
32,12,61,5,24,92
,16.6,57,5,25,66
,14.9,58,5,26,266
,8,57,5,27,
23,12,67,5,28,13
45,14.9,81,5,29,252
115,5.7,79,5,30,223
37,7.4,76,5,31,279
,8.6,78,6,1,286
,9.7,74,6,2,287
,16.1,67,6,3,242
,9.2,84,6,4,186
,8.6,85,6,5,220
,14.3,79,6,6,264
29,9.7,82,6,7,127
,6.9,87,6,8,273
71,13.8,90,6,9,291
39,11.5,87,6,10,323
,10.9,93,6,11,259
,9.2,92,6,12,250
23,8,82,6,13,148
,13.8,80,6,14,332
,11.5,79,6,15,322
21,14.9,77,6,16,191
37,20.7,72,6,17,284
20,9.2,65,6,18,37
12,11.5,73,6,19,120
13,10.3,76,6,20,137
,6.3,77,6,21,150
,1.7,76,6,22,59
,4.6,76,6,23,91
,6.3,76,6,24,250
,8,75,6,25,135
,8,78,6,26,127
,10.3,73,6,27,47
,11.5,80,6,28,98
,14.9,77,6,29,31
,8,83,6,30,138
135,4.1,84,7,1,269
49,9.2,85,7,2,248
32,9.2,81,7,3,236
,10.9,84,7,4,101
64,4.6,83,7,5,175
40,10.9,83,7,6,314
77,5.1,88,7,7,276
97,6.3,92,7,8,267
97,5.7,92,7,9,272
85,7.4,89,7,10,175
,8.6,82,7,11,139
10,14.3,73,7,12,264
27,14.9,81,7,13,175
,14.9,91,7,14,291
7,14.3,80,7,15,48
48,6.9,81,7,16,260
35,10.3,82,7,17,274
61,6.3,84,7,18,285
79,5.1,87,7,19,187
63,11.5,85,7,20,220
16,6.9,74,7,21,7
,9.7,81,7,22,258
,11.5,82,7,23,295
80,8.6,86,7,24,294
108,8,85,7,25,223
20,8.6,82,7,26,81
52,12,86,7,27,82
82,7.4,88,7,28,213
50,7.4,86,7,29,275
64,7.4,83,7,30,253
59,9.2,81,7,31,254
39,6.9,81,8,1,83
9,13.8,81,8,2,24
16,7.4,82,8,3,77
78,6.9,86,8,4,
35,7.4,85,8,5,
66,4.6,87,8,6,
122,4,89,8,7,255
89,10.3,90,8,8,229
110,8,90,8,9,207
,8.6,92,8,10,222
,11.5,86,8,11,137
44,11.5,86,8,12,192
28,11.5,82,8,13,273
65,9.7,80,8,14,157
,11.5,79,8,15,64
22,10.3,77,8,16,71
59,6.3,79,8,17,51
23,7.4,76,8,18,115
31,10.9,78,8,19,244
44,10.3,78,8,20,190
21,15.5,77,8,21,259
9,14.3,72,8,22,36
,12.6,75,8,23,255
45,9.7,79,8,24,212
168,3.4,81,8,25,238
73,8,86,8,26,215
,5.7,88,8,27,153
76,9.7,97,8,28,203
118,2.3,94,8,29,225
84,6.3,96,8,30,237
85,6.3,94,8,31,188
96,6.9,91,9,1,167
78,5.1,92,9,2,197
73,2.8,93,9,3,183
91,4.6,93,9,4,189
47,7.4,87,9,5,95
32,15.5,84,9,6,92
20,10.9,80,9,7,252
23,10.3,78,9,8,220
21,10.9,75,9,9,230
24,9.7,73,9,10,259
44,14.9,81,9,11,236
21,15.5,76,9,12,259
28,6.3,77,9,13,238
9,10.9,71,9,14,24
13,11.5,71,9,15,112
46,6.9,78,9,16,237
18,13.8,67,9,17,224
13,10.3,76,9,18,27
24,10.3,68,9,19,238
16,8,82,9,20,201
13,12.6,64,9,21,238
23,9.2,71,9,22,14
36,10.3,81,9,23,139
7,10.3,69,9,24,49
14,16.6,63,9,25,20
30,6.9,70,9,26,193
,13.2,77,9,27,145
14,14.3,75,9,28,191
18,8,76,9,29,131
20,11.5,68,9,30,223
