"distrito","ano","quarter","precio"
"Arganzuela",2007,2,13.0665872953166
"Barajas",2007,2,11.1998547051696
"Carabanchel",2007,2,11.127661322858
"Centro",2007,2,17.7464038079552
"Chamartín",2007,2,14.386479507498
"Chamberí",2007,2,14.9796763438228
"Ciudad Lineal",2007,2,12.5966251697307
"Fuencarral",2007,2,10.164143328771
"Hortaleza",2007,2,12.5205347232998
"Latina",2007,2,11.02523251347
"Moncloa",2007,2,13.2415454859411
"Moratalaz",2007,2,11.4986112209726
"Puente De Vallecas",2007,2,11.6913758326212
"Retiro",2007,2,13.7475220210882
"Salamanca",2007,2,15.4751580447348
"San Blas",2007,2,11.8347737932991
"Tetuan",2007,2,12.4282313701254
"Usera",2007,2,11.0142351276564
"Vicálvaro",2007,2,9.59265102936488
"Villa De Vallecas",2007,2,10.3157168881887
"Villaverde",2007,2,10.3039812040477
"Arganzuela",2007,4,13.999737283699
"Barajas",2007,4,11.9582415675523
"Carabanchel",2007,4,12.1600929262779
"Centro",2007,4,18.0445935367462
"Chamartín",2007,4,14.6839466995602
"Chamberí",2007,4,16.0982213435844
"Ciudad Lineal",2007,4,12.9384749146432
"Fuencarral",2007,4,10.9379667886466
"Hortaleza",2007,4,12.9064039775179
"Latina",2007,4,11.6550670081984
"Moncloa",2007,4,13.3590922532967
"Moratalaz",2007,4,11.1178938769261
"Puente De Vallecas",2007,4,12.2052788634833
"Retiro",2007,4,14.0219478309353
"Salamanca",2007,4,16.6115172882065
"San Blas",2007,4,12.6563467240883
"Tetuan",2007,4,12.7674155366752
"Usera",2007,4,11.9071230758154
"Vicálvaro",2007,4,10.3385908633002
"Villa De Vallecas",2007,4,11.2820859687619
"Villaverde",2007,4,10.92044583
"Arganzuela",2008,2,13.5672252074436
"Barajas",2008,2,12.0738216527753
"Carabanchel",2008,2,11.9309674938557
"Centro",2008,2,17.6186080820587
"Chamartín",2008,2,14.8189432621271
"Chamberí",2008,2,16.2554053732529
"Ciudad Lineal",2008,2,13.2944988610468
"Fuencarral",2008,2,11.8898784425475
"Hortaleza",2008,2,13.1458938605389
"Latina",2008,2,11.9094514210284
"Moncloa",2008,2,14.1117018615716
"Moratalaz",2008,2,11.9256846354193
"Puente De Vallecas",2008,2,12.418159988491
"Retiro",2008,2,14.2405585097576
"Salamanca",2008,2,16.8815795664998
"San Blas",2008,2,12.9878161747704
"Tetuan",2008,2,13.0983695956028
"Usera",2008,2,12.4188464469082
"Vicálvaro",2008,2,10.8507311108897
"Villa De Vallecas",2008,2,11.0872054976704
"Villaverde",2008,2,11.2348412754786
"Arganzuela",2008,4,13.1939529452426
"Barajas",2008,4,11.6060721463097
"Carabanchel",2008,4,11.2062748522771
"Centro",2008,4,16.8580532573621
"Chamartín",2008,4,14.6890111304801
"Chamberí",2008,4,15.4204791446198
"Ciudad Lineal",2008,4,12.5796109805769
"Fuencarral",2008,4,11.373405565281
"Hortaleza",2008,4,12.6356479528587
"Latina",2008,4,11.3415116242568
"Moncloa",2008,4,14.2395736229974
"Moratalaz",2008,4,10.9662988422213
"Puente De Vallecas",2008,4,11.8163050669002
"Retiro",2008,4,13.9742897297516
"Salamanca",2008,4,16.3241239885399
"San Blas",2008,4,11.9402305675913
"Tetuan",2008,4,12.8138030657221
"Usera",2008,4,11.6512189243261
"Vicálvaro",2008,4,10.7555364974229
"Villa De Vallecas",2008,4,10.6896816225192
"Villaverde",2008,4,10.6284438581828
"Arganzuela",2009,2,12.710960156608
"Barajas",2009,2,11.0246419489596
"Carabanchel",2009,2,10.6329918053615
"Centro",2009,2,15.7887133312236
"Chamartín",2009,2,14.0201817145535
"Chamberí",2009,2,15.1372461318912
"Ciudad Lineal",2009,2,11.744553923161
"Fuencarral",2009,2,10.9309408226494
"Hortaleza",2009,2,12.1973385555591
"Latina",2009,2,10.5991060119226
"Moncloa",2009,2,13.577953948534
"Moratalaz",2009,2,10.229013820054
"Puente De Vallecas",2009,2,11.021227573665
"Retiro",2009,2,13.0196473019734
"Salamanca",2009,2,15.4014666124965
"San Blas",2009,2,11.1207119842053
"Tetuan",2009,2,12.2871871477106
"Usera",2009,2,10.786221358578
"Vicálvaro",2009,2,10.2440452096245
"Villa De Vallecas",2009,2,10.1059481633004
"Villaverde",2009,2,10.0379982580426
"Arganzuela",2009,4,12.728870626135
"Barajas",2009,4,10.8218953193634
"Carabanchel",2009,4,10.5841258862207
"Centro",2009,4,15.6106600981053
"Chamartín",2009,4,13.8733236943123
"Chamberí",2009,4,14.462549771935
"Ciudad Lineal",2009,4,11.6381054385784
"Fuencarral",2009,4,10.6650630371508
"Hortaleza",2009,4,12.0716277714795
"Latina",2009,4,10.2223198932696
"Moncloa",2009,4,13.3874510592359
"Moratalaz",2009,4,10.1957580750546
"Puente De Vallecas",2009,4,10.5456411769636
"Retiro",2009,4,12.3477768442794
"Salamanca",2009,4,14.9411563260196
"San Blas",2009,4,10.8429803014052
"Tetuan",2009,4,12.0577739811559
"Usera",2009,4,10.170432581212
"Vicálvaro",2009,4,10.1849101780044
"Villa De Vallecas",2009,4,10.0937524967345
"Villaverde",2009,4,9.76476893266566
"Arganzuela",2010,1,12.659879764109
"Barajas",2010,1,10.763240320914
"Carabanchel",2010,1,10.5267596052576
"Centro",2010,1,15.5260498503783
"Chamartín",2010,1,13.7981298622004
"Chamberí",2010,1,14.3841623167424
"Ciudad Lineal",2010,1,11.575026556709
"Fuencarral",2010,1,10.6072580743929
"Hortaleza",2010,1,12.0061991855136
"Latina",2010,1,10.1669146116813
"Moncloa",2010,1,13.3148906714344
"Moratalaz",2010,1,10.1404967593208
"Puente De Vallecas",2010,1,10.4884834842834
"Retiro",2010,1,12.2808515220249
"Salamanca",2010,1,14.8601748088942
"San Blas",2010,1,10.7842110217184
"Tetuan",2010,1,11.9924204831507
"Usera",2010,1,10.1153085304172
"Vicálvaro",2010,1,10.1297076581992
"Villa De Vallecas",2010,1,10.0390440543063
"Villaverde",2010,1,9.7118435910595
"Arganzuela",2010,2,12.2787464399848
"Barajas",2010,2,10.8739493788948
"Carabanchel",2010,2,10.547752198676
"Centro",2010,2,15.2214897418983
"Chamartín",2010,2,13.6041598023892
"Chamberí",2010,2,14.3946415334709
"Ciudad Lineal",2010,2,11.6692199223791
"Fuencarral",2010,2,10.7420667690127
"Hortaleza",2010,2,11.8436738900339
"Latina",2010,2,10.170713846429
"Moncloa",2010,2,13.3489952215321
"Moratalaz",2010,2,10.0766777212009
"Puente De Vallecas",2010,2,10.6742365185878
"Retiro",2010,2,12.1536667205816
"Salamanca",2010,2,14.9859010560873
"San Blas",2010,2,10.7495084928282
"Tetuan",2010,2,11.6563669936923
"Usera",2010,2,10.2348538442435
"Vicálvaro",2010,2,9.82840191861784
"Villa De Vallecas",2010,2,9.92218693873533
"Villaverde",2010,2,9.5980187524935
"Arganzuela",2010,3,12.0281457225122
"Barajas",2010,3,10.7105982727876
"Carabanchel",2010,3,10.2967348943035
"Centro",2010,3,15.1597369663513
"Chamartín",2010,3,13.6349696679803
"Chamberí",2010,3,14.3971399258511
"Ciudad Lineal",2010,3,11.4066868739799
"Fuencarral",2010,3,10.6692661331621
"Hortaleza",2010,3,11.7714561347479
"Latina",2010,3,10.0861458144837
"Moncloa",2010,3,13.289881916855
"Moratalaz",2010,3,9.88310227671549
