"municipio","ano","quarter","precio"
"Alcalá De Henares",2009,4,8.56138561184977
"Alcobendas",2009,4,NA
"Alcorcón",2009,4,8.79203715026961
"Alpedrete",2009,4,NA
"Aranjuez",2009,4,7.75062476429433
"Arroyomolinos",2009,4,NA
"Boadilla Del Monte",2009,4,9.50850132662013
"Ciempozuelos",2009,4,NA
"Collado Villalba",2009,4,9.09812196091943
"Colmenar Viejo",2009,4,NA
"Coslada",2009,4,8.80860212310323
"Escorial (El)",2009,4,NA
"Fuenlabrada",2009,4,8.34751021710463
"Galapagar",2009,4,8.15451873278074
"Getafe",2009,4,8.82957407646765
"La Moraleja",2009,4,NA
"Leganés",2009,4,9.03349304704703
"Majadahonda",2009,4,10.7852562078244
"Móstoles",2009,4,8.50692166597709
"Navalcarnero",2009,4,NA
"Paracuellos Del Jarama",2009,4,NA
"Parla",2009,4,7.93722473823338
"Pinto",2009,4,NA
"Pozuelo De Alarcón",2009,4,11.7488426491303
"Rivas Vaciamadrid",2009,4,NA
"Rozas De Madrid (Las)",2009,4,10.6013517898005
"San Lorenzo Del Escorial",2009,4,NA
"San Sebastián De Los Reyes",2009,4,10.4175687367354
"Torrejón De Ardoz",2009,4,8.48428607858327
"Torrelodones",2009,4,NA
"Tres Cantos",2009,4,9.7418190448196
"Valdemoro",2009,4,7.647536624
"Villanueva De La Cañada",2009,4,NA
"Villaviciosa De Odón",2009,4,NA
"Alcalá De Henares",2010,1,8.23726397539113
"Alcobendas",2010,1,10.1775248217712
"Alcorcón",2010,1,9.01527493377886
"Alpedrete",2010,1,NA
"Aranjuez",2010,1,7.63563709164474
"Arroyomolinos",2010,1,NA
"Boadilla Del Monte",2010,1,9.67659257738457
"Ciempozuelos",2010,1,NA
"Collado Villalba",2010,1,9.03117256357244
"Colmenar Viejo",2010,1,8.45636431926152
"Coslada",2010,1,8.42567434
"Escorial (El)",2010,1,NA
"Fuenlabrada",2010,1,8.27449901019075
"Galapagar",2010,1,8.09683391805594
"Getafe",2010,1,8.5874426592338
"La Moraleja",2010,1,15.3896136807169
"Leganés",2010,1,8.90032694651125
"Majadahonda",2010,1,11.0403703421196
"Móstoles",2010,1,8.44502613322186
"Navalcarnero",2010,1,NA
"Paracuellos Del Jarama",2010,1,NA
"Parla",2010,1,7.75671369607941
"Pinto",2010,1,8.30086220688667
"Pozuelo De Alarcón",2010,1,11.9088243627628
"Rivas Vaciamadrid",2010,1,NA
"Rozas De Madrid (Las)",2010,1,10.94360839041
"San Lorenzo Del Escorial",2010,1,NA
"San Sebastián De Los Reyes",2010,1,9.93795312195432
"Torrejón De Ardoz",2010,1,8.66216880184093
"Torrelodones",2010,1,NA
"Tres Cantos",2010,1,9.68441484099972
"Valdemoro",2010,1,7.751458511
"Villanueva De La Cañada",2010,1,NA
"Villaviciosa De Odón",2010,1,NA
"Alcalá De Henares",2010,2,8.27133480949021
"Alcobendas",2010,2,10.2712114565761
"Alcorcón",2010,2,8.85561441604812
"Alpedrete",2010,2,NA
"Aranjuez",2010,2,7.41506559179682
"Arroyomolinos",2010,2,NA
"Boadilla Del Monte",2010,2,9.75819910769212
"Ciempozuelos",2010,2,NA
"Collado Villalba",2010,2,9.16932830585858
"Colmenar Viejo",2010,2,8.64351421512626
"Coslada",2010,2,NA
"Escorial (El)",2010,2,NA
"Fuenlabrada",2010,2,8.3343947214006
"Galapagar",2010,2,7.87939248731408
"Getafe",2010,2,8.62419402289531
"La Moraleja",2010,2,15.1103865613765
"Leganés",2010,2,9.06834743569783
"Majadahonda",2010,2,11.1718496169044
"Móstoles",2010,2,8.2312940453849
"Navalcarnero",2010,2,NA
"Paracuellos Del Jarama",2010,2,NA
"Parla",2010,2,7.55434625121716
"Pinto",2010,2,8.3108919047746
"Pozuelo De Alarcón",2010,2,11.7985266641971
"Rivas Vaciamadrid",2010,2,NA
"Rozas De Madrid (Las)",2010,2,11.2106589391426
"San Lorenzo Del Escorial",2010,2,7.66609196042563
"San Sebastián De Los Reyes",2010,2,10.077893056243
"Torrejón De Ardoz",2010,2,8.60165214483839
"Torrelodones",2010,2,NA
"Tres Cantos",2010,2,9.43347929285957
"Valdemoro",2010,2,7.400612152
"Villanueva De La Cañada",2010,2,NA
"Villaviciosa De Odón",2010,2,NA
"Alcalá De Henares",2010,3,8.56881917844722
"Alcobendas",2010,3,10.0097394132976
"Alcorcón",2010,3,8.5948298729596
"Alpedrete",2010,3,NA
"Aranjuez",2010,3,7.08998520993272
"Arroyomolinos",2010,3,NA
"Boadilla Del Monte",2010,3,10.2152369928079
"Ciempozuelos",2010,3,NA
"Collado Villalba",2010,3,8.99573217067561
"Colmenar Viejo",2010,3,8.53633174691698
"Coslada",2010,3,NA
"Escorial (El)",2010,3,NA
"Fuenlabrada",2010,3,8.27434695873411
"Galapagar",2010,3,7.58698655088682
"Getafe",2010,3,8.63139622593685
"La Moraleja",2010,3,14.9545347106326
"Leganés",2010,3,9.39795662149427
"Majadahonda",2010,3,11.1303035324754
"Móstoles",2010,3,8.37621046743313
"Navalcarnero",2010,3,NA
"Paracuellos Del Jarama",2010,3,NA
"Parla",2010,3,7.62060543599952
"Pinto",2010,3,8.56749627389859
"Pozuelo De Alarcón",2010,3,12.1850773467435
"Rivas Vaciamadrid",2010,3,NA
"Rozas De Madrid (Las)",2010,3,11.1620846138422
"San Lorenzo Del Escorial",2010,3,7.40567016
"San Sebastián De Los Reyes",2010,3,10.0437690440051
"Torrejón De Ardoz",2010,3,8.10374949477997
"Torrelodones",2010,3,NA
"Tres Cantos",2010,3,9.68682427847092
"Valdemoro",2010,3,7.393900408
"Villanueva De La Cañada",2010,3,9.5702522295311
"Villaviciosa De Odón",2010,3,NA
"Alcalá De Henares",2010,4,8.4059750400444
"Alcobendas",2010,4,9.86834773028666
"Alcorcón",2010,4,8.32627096011517
"Alpedrete",2010,4,NA
"Aranjuez",2010,4,7.34502480389563
"Arroyomolinos",2010,4,NA
"Boadilla Del Monte",2010,4,9.99652765734305
"Ciempozuelos",2010,4,NA
"Collado Villalba",2010,4,8.99398423681058
"Colmenar Viejo",2010,4,8.21711121888935
"Coslada",2010,4,NA
"Escorial (El)",2010,4,NA
"Fuenlabrada",2010,4,8.38671067982569
"Galapagar",2010,4,7.45325710849227
"Getafe",2010,4,8.55397612829471
"La Moraleja",2010,4,15.3117589654716
"Leganés",2010,4,9.01956693342568
"Majadahonda",2010,4,11.1258390575473
"Móstoles",2010,4,8.34475144720242
"Navalcarnero",2010,4,NA
"Paracuellos Del Jarama",2010,4,NA
"Parla",2010,4,7.43809903480651
"Pinto",2010,4,8.44961410076466
"Pozuelo De Alarcón",2010,4,12.1703214932148
"Rivas Vaciamadrid",2010,4,8.29532459241681
"Rozas De Madrid (Las)",2010,4,11.4441638324263
"San Lorenzo Del Escorial",2010,4,7.60842939144615
"San Sebastián De Los Reyes",2010,4,9.76420075214987
"Torrejón De Ardoz",2010,4,8.31453669252426
"Torrelodones",2010,4,NA
"Tres Cantos",2010,4,9.31891329796034
"Valdemoro",2010,4,7.623906582
"Villanueva De La Cañada",2010,4,NA
"Villaviciosa De Odón",2010,4,NA
"Alcalá De Henares",2011,1,8.12843933099736
"Alcobendas",2011,1,9.84212522883311
"Alcorcón",2011,1,8.32028970835144
"Alpedrete",2011,1,NA
"Aranjuez",2011,1,6.84084803446856
"Arroyomolinos",2011,1,NA
"Boadilla Del Monte",2011,1,9.57838808614165
"Ciempozuelos",2011,1,NA
"Collado Villalba",2011,1,9.18505105182542
"Colmenar Viejo",2011,1,7.71558804023986
"Coslada",2011,1,NA
"Escorial (El)",2011,1,NA
"Fuenlabrada",2011,1,8.14828261466626
"Galapagar",2011,1,7.33739863290474
"Getafe",2011,1,8.54219342349294
"La Moraleja",2011,1,14.8677680411716
"Leganés",2011,1,9.33376837953825
"Majadahonda",2011,1,11.2910150428658
"Móstoles",2011,1,8.34098412229386
"Navalcarnero",2011,1,NA
"Paracuellos Del Jarama",2011,1,NA
"Parla",2011,1,7.35499557456728
"Pinto",2011,1,8.39473954
"Pozuelo De Alarcón",2011,1,12.043805077012
"Rivas Vaciamadrid",2011,1,8.18630850174782
"Rozas De Madrid (Las)",2011,1,11.512149641955
"San Lorenzo Del Escorial",2011,1,7.7028220435522
"San Sebastián De Los Reyes",2011,1,9.83299096181147
"Torrejón De Ardoz",2011,1,8.24023085594284
"Torrelodones",2011,1,NA
"Tres Cantos",2011,1,9.20993191654891
"Valdemoro",2011,1,8.506566322
"Villanueva De La Cañada",2011,1,NA
"Villaviciosa De Odón",2011,1,NA
"Alcalá De Henares",2011,2,8.39529827861125
