id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19864,"PLAZA MAYOR  (wifi, air conditioning)",74966,Ismael,Centro,Embajadores,40.41341817984863,-3.7068384459193613,Entire home/apt,48,2,113,2018-10-25,1.43,1,111
21853,Bright and airy room,83531,Abdel,Latina,Cármenes,40.403409529595194,-3.740841968636018,Private room,17,4,33,2018-07-15,0.66,2,98
24805,Gran Via Studio Madrid,101471,Iraido,Centro,Universidad,40.42202187481732,-3.7039541031364283,Entire home/apt,60,5,2,2017-07-03,0.04,2,323
24836,"Select the Madrid more ""cool"".",101653,Tenty,Centro,Justicia,40.419951134923735,-3.6976372468400642,Entire home/apt,115,3,50,2018-11-04,0.55,1,330
26823,Roon for two people,114340,Agustina,Arganzuela,Legazpi,40.39116097569405,-3.6882338394434337,Private room,45,2,28,2018-05-01,0.28,2,365
26825,Single Room whith private Bathroom,114340,Agustina,Arganzuela,Legazpi,40.38985046311008,-3.690107786240652,Private room,25,2,116,2018-10-23,1.12,2,360
30320,Great Vacational Apartments,130907,Dana,Centro,Sol,40.41552454813678,-3.703458600171854,Entire home/apt,65,3,150,2018-08-19,1.48,3,308
30711,Sunny bedroom in Madrid centertown,132184,Luis,Arganzuela,Palos de Moguer,40.402985620212526,-3.691815647976894,Private room,149,2,0,,,1,365
30924,B & B in MADRID!!! ,132736,Olga,San Blas - Canillejas,Rejas,40.445083781620696,-3.5915012405093893,Private room,29,1,125,2018-02-03,1.40,2,35
30959,Beautiful loft in Madrid Center,132883,Angela,Centro,Embajadores,40.41110750294009,-3.7026889396710567,Entire home/apt,54,3,8,2017-05-30,,1,0
40718,COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,175752,Sofia,Centro,Justicia,40.419778177049395,-3.697298893364473,Entire home/apt,55,3,103,2018-10-11,1.03,1,340
40916,Holiday Apartment Madrid Center,130907,Dana,Centro,Universidad,40.42096089699925,-3.704280279136888,Entire home/apt,90,3,29,2018-08-18,0.30,3,342
59923,Habitación para féminas en el centro de Madrid,288380,Patricia,Centro,Palacio,40.419710909635434,-3.712556330412948,Private room,40,1,12,2018-04-29,0.14,1,359
62423,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Centro,Justicia,40.420800192145705,-3.698775326514681,Private room,45,1,26,2018-10-24,4.29,1,359
64131,Habitación Metro Lacoma,313365,Gina,Fuencarral - El Pardo,Peñagrande,40.48409165427119,-3.722568627024161,Private room,20,2,12,2018-08-29,0.26,3,267
70059,"PLAZA ESPAÑA/Wifi/ downtown /parking. Cozy, Bright",353616,DiaNa MaRia,Centro,Universidad,40.42364536274782,-3.7088941459313065,Entire home/apt,58,4,26,2018-07-15,0.28,3,127
70310,"Cozy, Quiet & Sunny Apartment Heart of Malasaña",353738,Raquel,Centro,Universidad,40.42321368028037,-3.701428120511693,Entire home/apt,66,28,14,2018-10-05,0.15,5,363
70315,Superbly located 2 bedrooms 2 balconies,353738,Raquel,Centro,Palacio,40.421377229862564,-3.7110061755580976,Entire home/apt,80,15,3,2016-06-01,0.05,5,340
70316,Superbly located Monthly rental Bills Incl.,353738,Raquel,Centro,Palacio,40.42110740453139,-3.710104140419118,Entire home/apt,113,28,5,2018-06-02,0.12,5,310
72150,Attic Duplex Flat with Terrace-Wifi,364585,Vin,Centro,Embajadores,40.411192242767775,-3.70469913404241,Entire home/apt,110,2,71,2018-10-24,0.75,4,177
72955,Madrid Apartment Prado Museum,378073,Alvaro,Centro,Cortes,40.41138724656468,-3.6940846654777095,Entire home/apt,90,3,10,2018-10-08,0.20,10,309
74352,Cozy apartment of 75 m2 ,391014,Juan,Centro,Embajadores,40.410751388304995,-3.707585256582492,Entire home/apt,80,20,1,2017-07-15,0.06,1,352
75609,Estudio Museo Dino,401552,Mercedes,Centro,Embajadores,40.407433059883736,-3.6971941815968736,Entire home/apt,60,3,44,2018-10-22,0.55,1,170
76617,Plaza Comendadoras Lux,368907,Miguel,Centro,Universidad,40.42791316481744,-3.7099928761218366,Entire home/apt,102,3,25,2018-10-15,0.29,3,344
82481,"Retiro Park, Stay at cosy studio ",448981,Mercedes,Salamanca,Recoletos,40.42315163191458,-3.682789296209794,Entire home/apt,60,3,108,2017-11-29,1.18,1,0
84719,Cool Apart. (10min Center + WIFI),259229,Felipe,Centro,Embajadores,40.40864523922128,-3.705344670414768,Entire home/apt,45,4,172,2018-04-02,1.88,1,238
86042,Attic Flat with Terrace - WiFi,364585,Vin,Centro,Embajadores,40.4089360690116,-3.6976600923039484,Entire home/apt,100,2,111,2018-08-27,1.23,4,175
89954,Amazing apt in the historic center,487095,Alicia Y Carlos,Centro,Palacio,40.412176250478595,-3.7136909092104355,Entire home/apt,103,2,181,2018-11-01,2.02,2,61
92920,Bedroom in Chueca Madrid,495849,Raul,Centro,Justicia,40.42421795406649,-3.695384513119434,Private room,50,2,81,2018-09-16,0.89,1,355
93100,*** MALASAÑA B&B ***,499977,Charo,Centro,Universidad,40.42461796718558,-3.70352404568597,Private room,32,1,541,2018-11-03,5.92,3,303
