"distrito","ano","quarter","precio"
"Arganzuela",2001,1,1920.40657543459
"Barajas",2001,1,1661.89030566455
"Carabanchel",2001,1,1358.55787972897
"Centro",2001,1,1857.41441612893
"Chamartín",2001,1,2523.68801546582
"Chamberí",2001,1,2264.78956628529
"Ciudad Lineal",2001,1,2006.88590762912
"Fuencarral",2001,1,2060.09877025456
"Hortaleza",2001,1,2098.2717490201
"Latina",2001,1,1473.86927627378
"Moncloa",2001,1,2019.07068648125
"Moratalaz",2001,1,1672.70935515272
"Puente De Vallecas",2001,1,1344.08002441389
"Retiro",2001,1,2152.36137617549
"Salamanca",2001,1,2437.77633210158
"San Blas",2001,1,1666.29660945609
"Tetuán",2001,1,2063.82501950686
"Usera",2001,1,1292.14858687068
"Vicálvaro",2001,1,1505.91052361511
"Villa De Vallecas",2001,1,1270.61727331786
"Villaverde",2001,1,1110.54030317653
"Arganzuela",2001,2,1989.7552775824
"Barajas",2001,2,1679.77967424681
"Carabanchel",2001,2,1413.0353065803
"Centro",2001,2,1988.01298909339
"Chamartín",2001,2,2660.91852525939
"Chamberí",2001,2,2454.96316500279
"Ciudad Lineal",2001,2,2073.37388448369
"Fuencarral",2001,2,2056.77156126911
"Hortaleza",2001,2,2148.77563405942
"Latina",2001,2,1527.70599058401
"Moncloa",2001,2,2127.12067422673
"Moratalaz",2001,2,1716.38459337224
"Puente De Vallecas",2001,2,1423.23612466915
"Retiro",2001,2,2339.66300902886
"Salamanca",2001,2,2533.10199359188
"San Blas",2001,2,1743.7272820787
"Tetuán",2001,2,2254.0267196516
"Usera",2001,2,1331.3894198714
"Vicálvaro",2001,2,1523.7212082011
"Villa De Vallecas",2001,2,1451.02281592604
"Villaverde",2001,2,1179.8496633262
"Arganzuela",2001,3,1974.71539372248
"Barajas",2001,3,1842.42511483804
"Carabanchel",2001,3,1481.47352248547
"Centro",2001,3,2061.02611735355
"Chamartín",2001,3,2857.18451340295
"Chamberí",2001,3,2446.56083825743
"Ciudad Lineal",2001,3,2254.54378591285
"Fuencarral",2001,3,2047.43064685387
"Hortaleza",2001,3,2104.16742845547
"Latina",2001,3,1572.56148874769
"Moncloa",2001,3,2295.49318568989
"Moratalaz",2001,3,1742.09177901321
"Puente De Vallecas",2001,3,1474.97085222168
"Retiro",2001,3,2425.84446609462
"Salamanca",2001,3,2615.37735227101
"San Blas",2001,3,1805.71341028909
"Tetuán",2001,3,2287.16954294081
"Usera",2001,3,1409.83174387472
"Vicálvaro",2001,3,1689.37912179268
"Villa De Vallecas",2001,3,1398.11906900026
"Villaverde",2001,3,1279.48608375543
"Arganzuela",2001,4,2027.37661409059
"Barajas",2001,4,1964.72244751123
"Carabanchel",2001,4,1572.90012218652
"Centro",2001,4,2155.49035769318
"Chamartín",2001,4,3006.46485899505
"Chamberí",2001,4,2695.06429972744
"Ciudad Lineal",2001,4,2277.05814359345
"Fuencarral",2001,4,2174.19309398553
"Hortaleza",2001,4,2192.89583027788
"Latina",2001,4,1644.90565691206
"Moncloa",2001,4,2250.87431278416
"Moratalaz",2001,4,1826.32219894785
"Puente De Vallecas",2001,4,1530.81896552874
"Retiro",2001,4,2504.29638954548
"Salamanca",2001,4,2825.98345377388
"San Blas",2001,4,1851.57089294252
"Tetuán",2001,4,2321.00957388047
"Usera",2001,4,1532.68923915797
"Vicálvaro",2001,4,1664.54353001903
"Villa De Vallecas",2001,4,1458.8134308032
"Villaverde",2001,4,1342.85646579063
"Arganzuela",2002,1,2150.8146736201
"Barajas",2002,1,2082.54968615302
"Carabanchel",2002,1,1651.45161461439
"Centro",2002,1,2292.02033262733
"Chamartín",2002,1,2836.26995873467
"Chamberí",2002,1,2780.16174985763
"Ciudad Lineal",2002,1,2372.44209868443
"Fuencarral",2002,1,2432.29085481994
"Hortaleza",2002,1,2179.80391487324
"Latina",2002,1,1757.12207466616
"Moncloa",2002,1,2643.63177492348
"Moratalaz",2002,1,1920.77101722421
"Puente De Vallecas",2002,1,1599.08395299581
"Retiro",2002,1,2557.59918797868
"Salamanca",2002,1,2902.66467257251
"San Blas",2002,1,1908.61423863418
"Tetuán",2002,1,2474.37201147773
"Usera",2002,1,1555.13252270879
"Vicálvaro",2002,1,1934.79806944347
"Villa De Vallecas",2002,1,1534.55951278721
"Villaverde",2002,1,1340.05105534678
"Arganzuela",2002,2,NA
"Barajas",2002,2,2151.74981043471
"Carabanchel",2002,2,1799.20323132394
"Centro",2002,2,2454.73413837076
"Chamartín",2002,2,3095.3028563837
"Chamberí",2002,2,2901.72953575789
"Ciudad Lineal",2002,2,2495.88015821393
"Fuencarral",2002,2,2562.27487205177
"Hortaleza",2002,2,2445.38277022459
"Latina",2002,2,1862.79253471793
"Moncloa",2002,2,2679.16697387894
"Moratalaz",2002,2,1990.90627832051
"Puente De Vallecas",2002,2,1698.20845534526
"Retiro",2002,2,2710.96162557594
"Salamanca",2002,2,3113.07045586143
"San Blas",2002,2,1949.76025847735
"Tetuán",2002,2,2483.7233796239
"Usera",2002,2,1731.87338067149
"Vicálvaro",2002,2,2012.41442505672
"Villa De Vallecas",2002,2,1543.91088093338
"Villaverde",2002,2,1436.37014725238
"Arganzuela",2002,3,NA
"Barajas",2002,3,2542.6369989448
"Carabanchel",2002,3,1837.54384072326
"Centro",2002,3,2522.99912583783
"Chamartín",2002,3,3160.76243340692
"Chamberí",2002,3,3180.40030651389
"Ciudad Lineal",2002,3,2674.49128980586
"Fuencarral",2002,3,2675.42642662047
"Hortaleza",2002,3,2422.00434985915
"Latina",2002,3,2028.31175090521
"Moncloa",2002,3,2621.18849137266
"Moratalaz",2002,3,2061.04153941682
"Puente De Vallecas",2002,3,1733.74365430072
"Retiro",2002,3,2847.49160051008
"Salamanca",2002,3,3272.97885116101
"San Blas",2002,3,2226.56075560411
"Tetuán",2002,3,2783.9022971161
"Usera",2002,3,1897.39259685877
"Vicálvaro",2002,3,2062.91181304606
"Villa De Vallecas",2002,3,1822.58165168938
"Villaverde",2002,3,1692.59763445755
"Arganzuela",2002,4,NA
"Barajas",2002,4,2593.13438693414
"Carabanchel",2002,4,2069.45777074838
"Centro",2002,4,2789.5131180038
"Chamartín",2002,4,3529.20633836619
"Chamberí",2002,4,3353.40061721811
"Ciudad Lineal",2002,4,2818.50235925694
"Fuencarral",2002,4,2807.28071748153
"Hortaleza",2002,4,2757.71846630681
"Latina",2002,4,2168.58227309783
"Moncloa",2002,4,2831.59427466159
"Moratalaz",2002,4,2315.39875299276
"Puente De Vallecas",2002,4,1980.61977335972
"Retiro",2002,4,3045.74060520898
"Salamanca",2002,4,3468.42244541606
"San Blas",2002,4,2346.25826787514
"Tetuán",2002,4,3024.23245847278
"Usera",2002,4,2032.05229816368
"Vicálvaro",2002,4,2040.46852949524
"Villa De Vallecas",2002,4,1862.79253471793
"Villaverde",2002,4,1736.54906474457
"Arganzuela",2003,1,2744.41775414676
"Barajas",2003,1,2605.68560660083
"Carabanchel",2003,1,2162.55303348792
"Centro",2003,1,2953.87851307545
"Chamartín",2003,1,3578.90209947664
"Chamberí",2003,1,3407.65816774042
"Ciudad Lineal",2003,1,2965.46499528969
"Fuencarral",2003,1,2951.19408160061
"Hortaleza",2003,1,2746.38482131316
"Latina",2003,1,2261.69576911655
"Moncloa",2003,1,2976.55382919258
"Moratalaz",2003,1,2493.61300211099
"Puente De Vallecas",2003,1,2047.53938073724
"Retiro",2003,1,3132.28572863646
"Salamanca",2003,1,3720.96611930564
"San Blas",2003,1,2554.25984492578
"Tetuán",2003,1,2969.52105577573
"Usera",2003,1,2112.08926109609
"Vicálvaro",2003,1,2189.86034720609
"Villa De Vallecas",2003,1,2020.9985335287
"Villaverde",2003,1,1801.93907596677
"Arganzuela",2003,2,2845.0883714856
"Barajas",2003,2,2743.16206225875
"Carabanchel",2003,2,2240.61195004594
"Centro",2003,2,2965.10456156451
"Chamartín",2003,2,3676.66524391001
"Chamberí",2003,2,3613.8468862215
"Ciudad Lineal",2003,2,3078.64869444592
"Fuencarral",2003,2,2958.93811592707
"Hortaleza",2003,2,2863.25841790729
"Latina",2003,2,2365.69089597997
"Moncloa",2003,2,3151.41947928207
"Moratalaz",2003,2,2531.12661026042
"Puente De Vallecas",2003,2,2197.89307725125
"Retiro",2003,2,3259.05195139375
"Salamanca",2003,2,3733.72924142741
"San Blas",2003,2,2581.3351619463
"Tetuán",2003,2,3069.33975911019
"Usera",2003,2,2197.4936381823
"Vicálvaro",2003,2,2267.30403100962
"Villa De Vallecas",2003,2,2111.44798691996
"Villaverde",2003,2,1888.71476489029
"Arganzuela",2003,3,2999.03759169401
