"municipio","ano","quarter","precio"
"Alcalá De Henares",2002,2,1431.73463286578
"Alcobendas",2002,2,2325.59394026927
"Alcorcón",2002,2,1725.47728690976
"Algete",2002,2,1447.80843022749
"Alpedrete",2002,2,NA
"Aranjuez",2002,2,NA
"Arganda Del Rey",2002,2,1379.11145234953
"Arroyomolinos",2002,2,NA
"Boadilla Del Monte",2002,2,1838.8487356055
"Brunete",2002,2,NA
"Cercedilla",2002,2,NA
"Ciempozuelos",2002,2,NA
"Collado Villalba",2002,2,1488.32471312573
"Colmenar Viejo",2002,2,1730.98973841022
"Coslada",2002,2,1678.71769671372
"El Escorial",2002,2,1527.64855766931
"Fuenlabrada",2002,2,1388.89689443766
"Galapagar",2002,2,NA
"Getafe",2002,2,1732.47868072104
"Guadarrama",2002,2,NA
"Humanes De Madrid",2002,2,NA
"La Moraleja",2002,2,NA
"Leganés",2002,2,NA
"Majadahonda",2002,2,2264.40632080749
"Manzanares El Real",2002,2,NA
"Meco",2002,2,NA
"Mejorada Del Campo",2002,2,NA
"Molar El",2002,2,NA
"Móstoles",2002,2,1418.25025770436
"Navalcarnero",2002,2,NA
"Paracuellos Del Jarama",2002,2,NA
"Parla",2002,2,1224.02971851364
"Pinto",2002,2,NA
"Pozuelo De Alarcón",2002,2,2512.63351993698
"Rivas-Vacíamadrid",2002,2,NA
"Rozas De Madrid (Las)",2002,2,2217.84112745608
"San Agustín De Guadalix",2002,2,NA
"San Fernando De Henares",2002,2,1679.20038993669
"San Lorenzo Del Escorial",2002,2,NA
"San Martín De La Vega",2002,2,NA
"San Martín De Valdeiglesias",2002,2,NA
"San Sebastián De Los Reyes",2002,2,2259.56732550083
"Sevilla La Nueva",2002,2,NA
"Torrejón De Ardoz",2002,2,1432.73123003426
"Torrelodones",2002,2,1892.08227214536
"Tres Cantos",2002,2,2011.07134608192
"Valdemoro",2002,2,NA
"Villanueva De La Cañada",2002,2,NA
"Villanueva Del Pardillo",2002,2,NA
"Villaviciosa De Odón",2002,2,1951.51334083214
"Alcalá De Henares",2002,3,1526.71208910388
"Alcobendas",2002,3,2485.00558563263
"Alcorcón",2002,3,1865.03062033978
"Algete",2002,3,NA
"Alpedrete",2002,3,NA
"Aranjuez",2002,3,NA
"Arganda Del Rey",2002,3,1482.80404275175
"Arroyomolinos",2002,3,NA
"Boadilla Del Monte",2002,3,2072.80940062673
"Brunete",2002,3,NA
"Cercedilla",2002,3,NA
"Ciempozuelos",2002,3,NA
"Collado Villalba",2002,3,1549.2201070747
"Colmenar Viejo",2002,3,1691.92939989502
"Coslada",2002,3,1801.94486819331
"El Escorial",2002,3,1588.22064429733
"Fuenlabrada",2002,3,1500.45084182014
"Galapagar",2002,3,1581.00703520053
"Getafe",2002,3,1760.26184398576
"Guadarrama",2002,3,NA
"Humanes De Madrid",2002,3,NA
"La Moraleja",2002,3,NA
"Leganés",2002,3,1680.61834783255
"Majadahonda",2002,3,2422.45884252828
"Manzanares El Real",2002,3,NA
"Meco",2002,3,NA
"Mejorada Del Campo",2002,3,NA
"Molar El",2002,3,NA
"Móstoles",2002,3,1436.73577880406
"Navalcarnero",2002,3,NA
"Paracuellos Del Jarama",2002,3,NA
"Parla",2002,3,1314.03190369847
"Pinto",2002,3,NA
"Pozuelo De Alarcón",2002,3,2602.07669351902
"Rivas-Vacíamadrid",2002,3,NA
