Area	Region	palmitic	palmitoleic	stearic	oleic	linoleic	linolenic	arachidic	eicosenoic	Test/Training
North-Apulia	South	1088	73	224	7709	781	31	61	29	Training
North-Apulia	South	911	54	246	8113	549	31	63	29	Training
North-Apulia	South	966	57	240	7952	619	50	78	35	Training
North-Apulia	South	1051	67	259	7771	672	50	80	46	Training
North-Apulia	South	911	49	268	7924	678	51	70	44	Training
North-Apulia	South	1100	61	235	7728	734	39	64	35	Training
North-Apulia	South	1082	60	239	7745	709	46	83	33	Training
North-Apulia	South	1037	55	213	7944	633	26	52	30	Training
North-Apulia	South	1051	35	219	7978	605	21	65	24	Training
North-Apulia	South	1074	70	214	7728	747	50	79	33	Training
North-Apulia	South	875	52	243	8018	655	41	79	32	Training
North-Apulia	South	943	94	183	7840	788	42	75	31	Training
North-Apulia	South	1278	69	205	7344	957	45	70	28	Training
North-Apulia	South	961	70	195	7958	742	46	75	30	Training
North-Apulia	South	952	77	258	7820	736	43	78	33	Training
North-Apulia	South	1074	67	236	7692	716	56	83	45	Training
North-Apulia	South	1056	53	247	7703	700	54	89	51	Training
North-Apulia	South	1065	39	234	7876	703	42	74	26	Training
North-Apulia	South	1065	45	245	7779	696	47	82	38	Training
Calabria	South	1315	139	230	7299	832	42	60	32	Training
Calabria	South	1359	115	246	7234	874	45	63	18	Training
Calabria	South	1378	111	272	7127	940	46	64	23	Training
Calabria	South	1295	109	245	7253	903	43	62	38	Training
Calabria	South	1275	121	215	7285	892	40	68	41	Training
Calabria	South	1309	122	241	7257	870	46	72	35	Training
Calabria	South	1245	72	283	7395	829	44	67	28	Training
Calabria	South	1285	129	244	7323	819	57	65	36	Training
Calabria	South	1248	107	313	7299	840	46	66	33	Training
Calabria	South	1356	106	236	7209	866	48	75	36	Training
Calabria	South	1261	121	312	7238	877	47	65	25	Training
Calabria	South	1304	124	279	7160	928	48	61	37	Training
Calabria	South	1344	117	287	7129	897	51	65	41	Training
Calabria	South	1323	96	300	7351	757	47	54	26	Training
Calabria	South	1292	117	215	7351	839	48	61	32	Training
Calabria	South	1254	118	244	7394	786	46	71	24	Training
Calabria	South	1312	131	259	7167	939	41	69	20	Training
Calabria	South	1213	109	301	7261	925	47	65	31	Training
Calabria	South	1266	97	263	7435	743	45	69	29	Training
Calabria	South	1298	99	311	7311	787	45	67	23	Training
Calabria	South	1272	116	279	7258	872	43	72	27	Training
Calabria	South	1184	112	311	7391	819	48	57	28	Training
Calabria	South	1382	110	268	7241	828	39	60	30	Training
Calabria	South	1183	146	292	7580	618	38	51	23	Training
Calabria	South	1261	153	219	7355	818	52	70	26	Training
Calabria	South	1198	136	239	7639	633	27	55	19	Training
Calabria	South	1225	134	232	7658	616	36	49	26	Training
Calabria	South	1132	157	240	7641	638	45	60	31	Training
Calabria	South	1381	183	245	7385	609	47	70	25	Training
Calabria	South	1409	128	257	7257	759	43	57	16	Training
Calabria	South	1306	127	250	7254	869	47	68	24	Training
Calabria	South	1372	120	250	7355	702	44	68	28	Training
Calabria	South	1336	113	242	7293	855	38	60	18	Training
Calabria	South	1390	119	234	7236	823	40	62	41	Training
Calabria	South	1412	124	298	7182	790	45	68	28	Training
Calabria	South	1366	147	291	7197	783	51	70	34	Training
Calabria	South	1383	118	273	7282	738	45	68	29	Training
Calabria	South	1283	102	263	7400	763	54	65	28	Training
Calabria	South	1351	159	296	7229	810	36	60	22	Training
Calabria	South	1241	97	268	7499	709	52	69	36	Training
Calabria	South	1267	101	300	7230	898	74	65	34	Training
Calabria	South	1255	103	223	7395	848	47	56	30	Training
South-Apulia	South	1454	183	196	7057	1014	27	46	19	Training
South-Apulia	South	1347	194	197	7277	895	25	46	15	Training
South-Apulia	South	1364	204	225	6929	1084	21	50	14	Training
South-Apulia	South	1410	199	216	7130	955	21	48	19	Training
South-Apulia	South	1384	178	208	7105	999	29	67	26	Training
South-Apulia	South	1412	185	217	6842	1203	34	72	32	Training
South-Apulia	South	1410	232	280	6715	1233	32	60	24	Training
South-Apulia	South	1509	209	257	6647	1240	42	62	30	Training
South-Apulia	South	1317	197	256	7036	1067	40	60	22	Training
South-Apulia	South	1286	192	203	7132	1053	38	65	28	Training
South-Apulia	South	1273	191	202	6862	1303	43	70	28	Training
South-Apulia	South	1463	183	183	6747	1307	36	60	24	Training
South-Apulia	South	1399	187	191	6861	1233	38	60	17	Training
South-Apulia	South	1369	206	203	6953	1168	35	50	16	Training
South-Apulia	South	1488	172	170	6920	1144	37	54	14	Training
South-Apulia	South	1323	160	205	6911	1298	24	50	17	Training
South-Apulia	South	1311	166	170	6902	1312	41	69	28	Training
South-Apulia	South	1286	163	183	7040	1230	29	57	12	Training
South-Apulia	South	1324	174	198	6863	1289	36	70	21	Training
South-Apulia	South	1290	157	192	7000	1263	26	51	19	Training
South-Apulia	South	1369	180	181	7000	1130	39	45	24	Training
South-Apulia	South	1303	165	175	7025	1243	31	41	16	Training
South-Apulia	South	1346	160	169	7072	1151	39	48	15	Training
South-Apulia	South	1305	172	169	7004	1260	28	50	11	Training
South-Apulia	South	1351	179	186	6935	1243	36	50	19	Training
South-Apulia	South	1283	151	182	7000	1271	40	52	21	Training
South-Apulia	South	1449	175	198	6883	1162	40	70	22	Training
South-Apulia	South	1310	180	183	7054	1202	26	32	12	Training
South-Apulia	South	1300	187	196	6920	1253	41	76	25	Training
South-Apulia	South	1348	154	183	6917	1277	48	56	16	Training
South-Apulia	South	1334	186	229	7261	827	34	56	20	Training
South-Apulia	South	1226	181	213	6961	1230	47	74	26	Training
South-Apulia	South	1201	168	190	7100	1216	43	64	16	Training
