Provincia	Municipio	Localidad	C.P.	Dirección	Margen	"Longitud (WGS84)"	"Latitud (WGS84)"	"Precio Gasolina 95 Protección"	"Precio Gasoleo A"	"Precio Nuevo Gasoleo A"	"Precio Biodiesel"	"% éster metílico"	"Precio Bioetanol"	"% Bioalcohol"	"Precio Gasolina  98"	"Precio Gas Natural Comprimido"	Rótulo	"Tipo Venta"	Remisión	Horario
ÁLAVA	Alegría-Dulantzi	ALEGRIA-DULANTZI         	01240	CL MANISITU, 9	D	-2,509361	42,846028		1,193			0,0		0,0			NOROIL	P	dm	L-D: 24H
ÁLAVA	Amurrio	AMURRIO                  	01470	CALLE ALDAY, 4	D	-3,002444	43,051278	1,220	1,169	1,230		0,0		0,0	1,336		PETRONOR	P	dm	L: 06:00-23:00
ÁLAVA	Amurrio	LEZAMA                   	01450	CARRETERA A-624 KM. 37,8	D	-2,967611	43,031889	1,219	1,169	1,229		0,0		0,0	1,339		CEPSA	P	OM	L-D: 06:00-22:00
ÁLAVA	Arrazua-Ubarrundia	LUKO                     	01510	N-240-B km 11,8	D	-2,639528	42,941417	1,229	1,179	1,239		0,0		0,0	1,349		CEPSA	P	OM	L-D: 06:00-22:00
ÁLAVA	Arrazua-Ubarrundia	ZURBANO                  	01520	AUTOVIA N-1 km 358	N	-2,616361	42,876861	1,219	1,165	1,225	1,165	12,0	1,371	85,0	1,338		AVIA	P	dm	L-D: 24H
ÁLAVA	Artziniega	ARTZINIEGA               	01474	AVENIDA DE GARAY, 23 (CARRETERA DE VITORIA A BALMASE km 56)	D	-3,122528	43,123361	1,205	1,150			0,0		0,0			AVIA - E.S. SAN MATEO	P	dm	L-D: 06:00-22:00
ÁLAVA	Asparrena	ILARDUIA                 	01260	N-IA km 385,1	I	-2,278694	42,866417	1,175	1,077	1,250		0,0		0,0			RED AHORRO	P	OM	L-D: 24H
ÁLAVA	Campezo/Kanpezu	SANTA CRUZ CAMPEZO         	01110	CR A-132  VITORIA-ESTELLA, 38,1	I	-2,357278	42,670222	1,200	1,100	1,230		0,0		0,0			PETRONOR	P	dm	L-D: 07:00-22:00
ÁLAVA	Elburgo/Burgelu	ELBURGO/BURGELU          	01192	CARRETERA N-1 KM. 364,4	D	-2,518167	42,878556	1,249	1,189	1,254		0,0		0,0	1,368		REPSOL	P	OM	L-D: 06:00-22:00
ÁLAVA	Iruña Oka/Iruña de Oca	NANCLARES DE LA OCA      	01230	CALLE TRATADO DE PARIS, 6	D	-2,772250	42,823778	1,149	1,069		1,308	10,0		0,0			EUROCAM	P	dm	L-D: 24H
