"id","extro","open","agree","social","class","school"
1,63.6935560100888,43.4330562390976,38.0266832281158,75.0581126982124,"d","IV"
2,69.4824364212664,46.8697900928332,31.4895710620668,98.125603117275,"a","VI"
3,79.7400574938528,32.2701275892036,40.2086568353318,116.338966540893,"d","VI"
4,62.9667383959429,44.4079048341994,30.5086578417797,90.4688772775817,"c","IV"
5,64.2458206626943,36.8633713482302,37.4394934428845,98.5187267133143,"d","IV"
6,50.9710711835449,46.256267152613,38.8319622073254,75.2199236881761,"d","I"
7,60.147396814114,37.0424336637548,38.5595903622447,95.9129914302522,"d","III"
8,64.1788557145624,42.1652976136802,34.8823506366644,91.4525650526226,"d","IV"
9,56.6766973473017,32.8493294182861,31.680269797132,115.251667122947,"a","III"
10,47.2391384254335,44.2576447910767,24.9996967453117,122.708479516541,"b","I"
11,74.3498379947753,49.4123019041778,39.7379991202843,88.8620320316235,"c","VI"
12,57.7498886889282,40.7573575907216,31.795698061969,94.336947142032,"b","III"
13,64.1365440266114,38.0172602473984,33.3853904834909,92.2641174965176,"d","IV"
14,59.0303557840526,39.6968971282219,29.7032676082601,96.5952402786534,"c","III"
15,55.1693163959372,31.2554142912031,33.6963936797821,117.714630313124,"c","II"
16,41.0971208279758,38.7064903258085,30.9784894600148,113.914826671589,"a","I"
17,45.774441597814,35.053842077756,36.8023341625547,107.305819507398,"b","I"
18,54.5758504848461,42.8860558510466,27.0843735028283,103.845869055386,"c","II"
19,55.0572075092626,39.439777995892,41.3690183065492,119.483622372282,"c","II"
20,67.9399144387021,42.2454201127091,26.580163539604,101.737621718858,"d","V"
21,68.0068450171785,44.2332158643575,28.6767475442593,82.3391132177082,"d","V"
22,52.016689237323,37.4383365165464,33.2945038792309,64.7557787352916,"a","II"
23,57.8382682243317,41.3186856747805,31.376445581791,93.4485924148585,"b","III"
24,57.2992023919543,40.5220736958384,36.4627183924716,104.021427790134,"a","III"
25,55.6276745588887,39.3241420178346,34.0339825478696,107.012455595238,"d","II"
26,74.6985295569147,35.3558591671464,35.6822275782307,138.77047570185,"c","VI"
27,63.150481004784,43.3942539686662,37.5543854808191,93.9460836714258,"c","IV"
28,53.6861111661931,45.4145064378505,28.2268512833736,96.796010070899,"b","II"
29,56.8391139247522,43.3166839870097,32.047610107422,99.2458534797406,"a","III"
30,71.7859040249572,37.0641502301234,39.7373057576199,80.7031183601388,"b","VI"
31,64.6169401190513,47.8005380232273,35.3628245860768,99.3754646189164,"a","V"
32,43.2409225676335,30.5419670768071,24.1654116442328,103.871516197745,"a","I"
33,44.3200784804053,39.6484103856795,35.0967737177937,75.8547693578104,"b","I"
34,54.3982963173196,43.6151161476585,32.8514075364766,116.553333610606,"c","II"
35,71.3597083827527,39.4687488343195,31.1188286050248,93.2401706894522,"b","VI"
36,68.7280907141363,40.73793625957,38.9002401949644,89.8699862205104,"d","V"
37,47.6506664201136,38.0746555039281,38.4986118317785,107.542535511923,"c","I"
38,68.6112915457836,44.2245380846591,38.4053447390539,101.67272188089,"d","V"
39,57.2373517469996,41.3635617548847,32.619101122781,108.19654534611,"a","III"
40,62.8171155538664,37.2816303673915,26.5973122104439,103.475930658899,"c","IV"
41,65.9246207713302,40.6813837843027,36.5339446282372,74.6903677973421,"b","V"
42,55.6476302829583,30.526469314168,34.9465589080736,90.9075907380557,"d","II"
43,49.2841581143391,43.7165844684755,29.4807700848834,88.705279624185,"d","I"
44,78.1482318505543,37.2763947537525,36.7687295134098,83.5964882485576,"d","VI"
45,42.147521427834,44.2946203309349,31.2717102860063,81.3619340228847,"a","I"
46,65.1290937182783,44.6186459511937,39.5501197458619,89.9197244952163,"a","V"
47,73.1404372508458,37.2288436263292,41.9353305250096,124.428835923879,"c","VI"
48,54.8561592543688,42.132123387171,32.7728156706754,97.651290051834,"c","II"
49,62.8364761606039,31.7984495344022,33.476009289159,84.4669767045018,"c","IV"
50,47.7634933286992,37.5011527364511,30.8280434550569,118.13880224227,"c","I"
51,63.7197428030459,40.7390134004429,35.2577626813368,85.6435060426633,"d","IV"
52,48.5939017951929,33.7202303403432,38.5028446012656,98.0864205882663,"c","I"
53,70.1234761990437,38.3579062198836,26.2652115629603,129.628808613956,"a","VI"
54,55.9626532941629,33.7179461139345,30.0311654518802,97.730848821882,"d","II"
55,78.1856317297012,50.4442705177899,44.2628871783555,109.646672796309,"d","VI"
56,49.6622969389932,45.636964196,40.2158549795448,102.709433642016,"d","I"
57,58.409211463865,38.3163720904142,38.7171225223328,78.9560346713338,"c","III"
58,56.5651189395652,38.6052182003794,35.533875765792,130.01974567674,"a","III"
59,57.6598121238167,37.9944175989633,30.1206319738257,88.4653209409914,"b","III"
60,51.6726418654466,49.8846548754509,37.9917669451645,93.6858093546395,"a","II"
61,59.0429338544574,36.6015311501129,30.9025097480629,105.227071184556,"c","III"
62,47.3402253508414,43.1568987647267,30.4081586943996,86.656902297099,"b","I"
63,47.4567919968758,29.5075070711373,33.7877373127656,96.5227312246447,"c","I"
64,52.6248243289201,45.4550908022487,32.3592100807658,103.470327620961,"a","II"
65,48.6333487759251,46.7482574990441,37.4862801265622,112.960383537751,"c","I"
66,59.4510940975448,43.8871622905794,32.0598337565049,124.256285408583,"d","III"
67,62.2904434897288,39.1234226767598,37.8687441384166,82.979910070695,"b","IV"
68,59.4270157002515,35.8180217901617,28.3114129230829,111.16966059002,"d","III"
69,61.8397935089764,49.379156243513,29.1260612505852,89.9757392647653,"b","IV"
70,58.0279861715347,39.3063699460113,34.6491008118052,76.4596204300213,"b","III"
71,59.086445031932,54.7150128559716,29.4253373225526,101.303843938865,"c","III"
72,48.313660775758,38.1811876817968,38.3042462892011,100.958930893067,"c","I"
73,72.4465104808599,44.8767621364648,41.5371030492367,107.545233483536,"b","VI"
74,66.4904944213085,34.3027099043917,36.9247622294584,99.1839379254456,"b","V"
75,65.4021069485964,41.2557889876168,20.0665785527372,95.4863197435909,"a","V"
76,54.1009564315906,35.9330158372605,37.6450112702991,119.589361807765,"b","II"
77,70.1685794976787,33.2719002189494,37.9334824258874,97.7657284129456,"a","VI"
78,56.0129974964227,36.9016764668566,35.2556058341203,116.482489998226,"d","II"
79,71.0710276405465,42.6153188858871,41.8373735329814,104.515051725268,"b","VI"
80,51.9583345572886,33.0688732656716,32.1887258621005,89.4120434645881,"a","II"
81,43.721775445075,51.2350280338609,28.5852477813933,104.666302574397,"a","I"
82,49.2764213391563,34.4192691920912,41.6145190938818,95.8416772221934,"c","I"
83,56.9389241319864,39.7144687143594,37.1400533423227,72.2766751795732,"a","III"
84,63.2912742790456,39.3714479232308,33.9908597373145,114.595747042458,"c","IV"
85,56.8087629552659,42.5929534228747,25.1855928849007,77.7398247311966,"a","III"
86,65.2259862424271,46.6468015521873,35.8830779219215,99.0412825412154,"a","V"
87,54.4502345808058,32.1358998929677,42.5846034304523,103.501647828688,"c","II"
88,51.8760085059698,39.1072689564051,46.0617844298201,114.188746772839,"a","II"
89,54.0669528341798,38.4855023460272,32.3153316403822,91.6581718820103,"b","II"
90,53.7047417708967,46.4154185045831,34.9959134544881,76.2901397913797,"b","II"
91,64.558039545101,44.7388622245452,32.4448978629666,113.974064489263,"a","V"
92,59.977488853258,42.3920562398607,44.9088979112579,89.845581075132,"d","III"
93,70.6712253466115,35.4763928323681,35.7529195308336,88.7594091638558,"a","VI"
94,60.6466498472886,40.5252709197822,34.7838790496566,136.112930908254,"a","IV"
95,55.5834553534461,49.3561950054611,40.1921629340849,80.7428927337506,"d","II"
96,64.634667319868,37.7873563640021,38.0246025546898,107.546386205095,"a","V"
97,62.676219233387,36.9730872334781,43.6819917403656,91.9712886437588,"c","IV"
98,60.8385840877937,41.5261837924485,23.2236438046557,121.292144031312,"a","IV"
99,50.3157821143504,38.1449451344716,30.3558501669592,71.783896694173,"d","I"
100,70.6028606028712,46.2047462313738,36.6517103288133,89.2101610492978,"a","VI"
101,45.0617793975201,45.1616518679551,28.4341998955708,120.490976114985,"b","I"
102,40.5941060052079,35.7062560590334,32.2297265459211,83.1483642602674,"a","I"
103,63.4194906787247,47.0290364868094,35.2636780924784,101.451026440336,"d","IV"
104,57.1062219338759,34.3441036466766,36.8168790516777,108.231827302893,"a","III"
105,47.0116683286837,46.8811864581847,33.2514730087083,105.115887371389,"b","I"
106,55.265675766097,43.9675736071624,33.2971227476878,97.4854613529996,"c","II"
