"Gender"	"Provinces"	"Periodo"	"Situation"	"value"
"Males"	"02 Albacete"	"2014Q4"	"active"	103.9
"Females"	"02 Albacete"	"2014Q4"	"active"	83.5
"Males"	"03 Alicante/Alacant"	"2014Q4"	"active"	490.5
"Females"	"03 Alicante/Alacant"	"2014Q4"	"active"	398.7
"Males"	"04 Almería"	"2014Q4"	"active"	198.5
"Females"	"04 Almería"	"2014Q4"	"active"	155.8
"Males"	"01 Araba/Álava"	"2014Q4"	"active"	84.8
"Females"	"01 Araba/Álava"	"2014Q4"	"active"	77.5
"Males"	"33 Asturias"	"2014Q4"	"active"	248
"Females"	"33 Asturias"	"2014Q4"	"active"	225.7
"Males"	"05 Ávila"	"2014Q4"	"active"	43
"Females"	"05 Ávila"	"2014Q4"	"active"	31.5
"Males"	"06 Badajoz"	"2014Q4"	"active"	181
"Females"	"06 Badajoz"	"2014Q4"	"active"	137.4
"Males"	"07 Balears, Illes"	"2014Q4"	"active"	320.4
"Females"	"07 Balears, Illes"	"2014Q4"	"active"	269.5
"Males"	"08 Barcelona"	"2014Q4"	"active"	1465.7
"Females"	"08 Barcelona"	"2014Q4"	"active"	1330.5
"Males"	"48 Bizkaia"	"2014Q4"	"active"	292.3
"Females"	"48 Bizkaia"	"2014Q4"	"active"	262.3
"Males"	"09 Burgos"	"2014Q4"	"active"	100.1
"Females"	"09 Burgos"	"2014Q4"	"active"	80.1
"Males"	"10 Cáceres"	"2014Q4"	"active"	105.1
"Females"	"10 Cáceres"	"2014Q4"	"active"	83.2
"Males"	"11 Cádiz"	"2014Q4"	"active"	321.7
"Females"	"11 Cádiz"	"2014Q4"	"active"	255.4
"Males"	"39 Cantabria"	"2014Q4"	"active"	151
"Females"	"39 Cantabria"	"2014Q4"	"active"	127
"Males"	"12 Castellón/Castelló"	"2014Q4"	"active"	156.3
"Females"	"12 Castellón/Castelló"	"2014Q4"	"active"	130.3
"Males"	"13 Ciudad Real"	"2014Q4"	"active"	137.3
"Females"	"13 Ciudad Real"	"2014Q4"	"active"	102.4
"Males"	"14 Córdoba"	"2014Q4"	"active"	207.3
"Females"	"14 Córdoba"	"2014Q4"	"active"	168.7
"Males"	"15 Coruña, A"	"2014Q4"	"active"	278.7
"Females"	"15 Coruña, A"	"2014Q4"	"active"	253.5
"Males"	"16 Cuenca"	"2014Q4"	"active"	54.2
"Females"	"16 Cuenca"	"2014Q4"	"active"	37.7
"Males"	"20 Gipuzkoa"	"2014Q4"	"active"	173.2
"Females"	"20 Gipuzkoa"	"2014Q4"	"active"	158.5
"Males"	"17 Girona"	"2014Q4"	"active"	208.8
"Females"	"17 Girona"	"2014Q4"	"active"	180
"Males"	"18 Granada"	"2014Q4"	"active"	249.9
"Females"	"18 Granada"	"2014Q4"	"active"	200.9
"Males"	"19 Guadalajara"	"2014Q4"	"active"	74.3
"Females"	"19 Guadalajara"	"2014Q4"	"active"	60.4
"Males"	"21 Huelva"	"2014Q4"	"active"	134
"Females"	"21 Huelva"	"2014Q4"	"active"	113.4
"Males"	"22 Huesca"	"2014Q4"	"active"	61.1
"Females"	"22 Huesca"	"2014Q4"	"active"	47.4
"Males"	"23 Jaén"	"2014Q4"	"active"	167.9
"Females"	"23 Jaén"	"2014Q4"	"active"	131.6
"Males"	"24 León"	"2014Q4"	"active"	113.7
"Females"	"24 León"	"2014Q4"	"active"	98.3
"Males"	"25 Lleida"	"2014Q4"	"active"	122.2
"Females"	"25 Lleida"	"2014Q4"	"active"	98
"Males"	"27 Lugo"	"2014Q4"	"active"	79.4
"Females"	"27 Lugo"	"2014Q4"	"active"	71.7
"Males"	"28 Madrid"	"2014Q4"	"active"	1748.8
"Females"	"28 Madrid"	"2014Q4"	"active"	1652.6
"Males"	"29 Málaga"	"2014Q4"	"active"	438.3
"Females"	"29 Málaga"	"2014Q4"	"active"	378.4
"Males"	"30 Murcia"	"2014Q4"	"active"	401.9
"Females"	"30 Murcia"	"2014Q4"	"active"	320.3
"Males"	"31 Navarra"	"2014Q4"	"active"	168.4
"Females"	"31 Navarra"	"2014Q4"	"active"	142.3
"Males"	"32 Ourense"	"2014Q4"	"active"	69.3
"Females"	"32 Ourense"	"2014Q4"	"active"	65.9
"Males"	"34 Palencia"	"2014Q4"	"active"	42.5
"Females"	"34 Palencia"	"2014Q4"	"active"	33.1
"Males"	"35 Palmas, Las"	"2014Q4"	"active"	310.7
"Females"	"35 Palmas, Las"	"2014Q4"	"active"	263.6
"Males"	"36 Pontevedra"	"2014Q4"	"active"	236.3
"Females"	"36 Pontevedra"	"2014Q4"	"active"	209.4
"Males"	"26 Rioja, La"	"2014Q4"	"active"	83.9
"Females"	"26 Rioja, La"	"2014Q4"	"active"	70.1
"Males"	"37 Salamanca"	"2014Q4"	"active"	85.9
"Females"	"37 Salamanca"	"2014Q4"	"active"	70.1
"Males"	"38 Santa Cruz de Tenerife"	"2014Q4"	"active"	281.9
"Females"	"38 Santa Cruz de Tenerife"	"2014Q4"	"active"	244.7
"Males"	"40 Segovia"	"2014Q4"	"active"	44
"Females"	"40 Segovia"	"2014Q4"	"active"	33.6
"Males"	"41 Sevilla"	"2014Q4"	"active"	511.4
"Females"	"41 Sevilla"	"2014Q4"	"active"	444.2
"Males"	"42 Soria"	"2014Q4"	"active"	24
"Females"	"42 Soria"	"2014Q4"	"active"	19.4
"Males"	"43 Tarragona"	"2014Q4"	"active"	218.9
"Females"	"43 Tarragona"	"2014Q4"	"active"	180.5
"Males"	"44 Teruel"	"2014Q4"	"active"	37.6
"Females"	"44 Teruel"	"2014Q4"	"active"	27.1
"Males"	"45 Toledo"	"2014Q4"	"active"	193.7
"Females"	"45 Toledo"	"2014Q4"	"active"	146.1
"Males"	"46 Valencia/València"	"2014Q4"	"active"	678.3
"Females"	"46 Valencia/València"	"2014Q4"	"active"	570.7
"Males"	"47 Valladolid"	"2014Q4"	"active"	134.4
"Females"	"47 Valladolid"	"2014Q4"	"active"	116.1
"Males"	"49 Zamora"	"2014Q4"	"active"	48.1
"Females"	"49 Zamora"	"2014Q4"	"active"	37.3
"Males"	"50 Zaragoza"	"2014Q4"	"active"	256.4
