PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;079;4;1;28079004_1_38;2018;01;00001;V;00001;V;00002;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00001;V;00001;V;00004;V;00002;V;00001;V;00002;V;00003;V;00004;V;00006;V;00006;V;00004;V;00003;V;00005;V;00006;V;00006;V;00005;V;00002;V;00002;V;00002;V;00006;V;00005;V;00006;V
28;079;4;1;28079004_1_38;2018;02;00005;V;00003;V;00002;V;00001;V;00001;V;00002;V;00003;V;00003;V;00004;V;00003;V;00003;V;00002;V;00003;V;00002;V;00002;V;00003;V;00003;V;00002;V;00003;V;00004;V;00002;V;00004;V;00004;V;00004;V;00005;V;00006;V;00003;V;00002;V;00000;N;00000;N;00000;N
28;079;4;1;28079004_1_38;2018;03;00001;V;00002;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00002;V;00001;V;00001;V;00002;V;00002;V;00002;V;00002;V;00001;V;00002;V;00001;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00004;V;00002;V;00002;V;00002;V
28;079;4;1;28079004_1_38;2018;04;00002;V;00003;V;00002;V;00002;V;00003;V;00003;V;00002;V;00002;V;00002;V;00001;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00002;V;00001;V;00002;V;00002;V;00002;V;00000;N
28;079;4;1;28079004_1_38;2018;05;00002;V;00002;V;00003;V;00002;V;00002;V;00002;V;00002;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00002;V;00002;V
28;079;4;1;28079004_1_38;2018;06;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00003;V;00003;V;00003;V;00002;V;00003;V;00002;V;00002;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00000;N
28;079;4;1;28079004_1_38;2018;07;00002;V;00002;V;00002;V;00003;V;00003;V;00002;V;00004;V;00007;V;00007;V;00007;V;00006;V;00006;V;00007;V;00006;V;00006;V;00006;V;00007;V;00007;V;00006;V;00006;V;00006;V;00006;V;00006;V;00007;V;00007;V;00007;V;00007;V;00006;V;00006;V;00007;V;00007;V
28;079;4;1;28079004_1_38;2018;08;00009;V;00008;V;00008;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00008;V;00008;V;00008;V;00009;V;00009;V;00009;V;00009;V;00008;V;00009;V;00010;V;00010;V;00009;V;00009;V;00009;V
28;079;4;1;28079004_1_38;2018;09;00010;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00008;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00010;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00010;V;00010;V;00010;V;00000;N
28;079;4;1;28079004_1_38;2018;10;00010;V;00011;V;00011;V;00012;V;00012;V;00011;V;00010;V;00011;V;00012;V;00012;V;00011;V;00010;V;00011;V;00010;V;00011;V;00011;V;00012;V;00011;V;00010;V;00010;V;00010;V;00012;V;00011;V;00014;V;00015;V;00017;V;00010;V;00061;N;00610;N;00009;V;00010;V
28;079;4;1;28079004_1_38;2018;11;00011;V;00048;N;00014;N;00012;V;00010;V;00010;V;00011;V;00012;V;00010;V;00010;V;00010;V;00011;V;00012;V;00012;V;00012;V;00011;V;00011;V;00011;V;00011;V;00011;V;00011;V;00012;V;00011;V;00012;V;00011;V;00012;V;00015;V;00016;V;00017;V;00013;V;00000;N
28;079;4;1;28079004_1_38;2018;12;00013;V;00012;V;00012;V;00016;V;00018;V;00015;V;00014;V;00015;V;00017;V;00020;V;00018;V;00013;V;00012;V;00012;V;00013;V;00012;V;00014;V;00014;V;00012;V;00011;V;00012;V;00012;V;00013;V;00016;V;00016;V;00018;V;00018;V;00016;V;00014;V;00015;V;00018;V
28;079;4;6;28079004_6_48;2018;01;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.6;V;000.4;V;000.4;V;000.6;V;000.5;V;000.4;V;000.5;V;000.5;V;000.6;V;000.8;V;000.8;V;000.6;V;000.5;V;000.7;V;000.8;V;000.8;V;000.6;V;000.4;V;000.3;V;000.3;V;000.7;V;000.7;V;000.7;V
28;079;4;6;28079004_6_48;2018;02;000.7;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.6;V;000.4;V;000.5;V;000.4;V;000.5;V;000.3;V;000.4;V;000.5;V;000.5;V;000.4;V;000.4;V;000.5;V;000.4;V;000.5;V;000.5;V;000.6;V;000.6;V;000.7;V;000.5;V;000.5;V;00000;N;00000;N;00000;N
28;079;4;6;28079004_6_48;2018;03;000.3;V;000.5;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.5;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V
28;079;4;6;28079004_6_48;2018;04;000.4;V;000.4;V;000.3;V;000.3;V;000.5;V;000.6;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N
28;079;4;6;28079004_6_48;2018;05;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V
28;079;4;6;28079004_6_48;2018;06;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N
28;079;4;6;28079004_6_48;2018;07;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V
28;079;4;6;28079004_6_48;2018;08;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V
28;079;4;6;28079004_6_48;2018;09;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.4;V;000.4;V;000.5;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.5;V;000.5;V;000.4;V;000.4;V;000.3;V;000.4;V;000.3;V;000.4;V;000.6;V;000.5;V;000.4;V;00000;N
28;079;4;6;28079004_6_48;2018;10;000.3;V;000.4;V;000.5;V;000.6;V;000.6;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.1;N;000.1;N;000.3;V;000.3;V;000.4;V;000.5;V;000.4;V;000.3;V;000.3;V;000.3;V;000.5;V;000.4;V;000.7;V;000.6;V;000.6;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V
28;079;4;6;28079004_6_48;2018;11;000.5;V;000.4;V;000.5;V;000.4;V;000.3;V;000.3;V;000.4;V;000.5;V;000.3;V;000.3;V;000.3;V;000.5;V;000.6;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.5;V;000.4;V;000.6;V;000.3;V;000.3;V;000.6;V;000.9;V;000.8;V;000.6;V;00000;N
28;079;4;6;28079004_6_48;2018;12;000.6;V;000.6;V;000.6;V;001.0;V;001.3;V;000.8;V;000.7;V;000.6;V;000.9;V;001.2;V;000.8;V;000.6;V;000.4;V;000.4;V;000.6;V;000.3;V;000.7;V;000.7;V;000.4;V;000.4;V;000.4;V;000.4;V;000.6;V;000.8;V;000.7;V;000.8;V;000.9;V;000.7;V;000.6;V;000.7;V;000.9;V
28;079;4;7;28079004_7_8;2018;01;00002;V;00006;V;00018;V;00008;V;00007;V;00004;V;00006;V;00035;V;00085;V;00016;V;00007;V;00080;V;00052;V;00016;V;00053;V;00052;V;00073;V;00127;V;00134;V;00060;V;00033;V;00113;V;00126;V;00136;V;00094;V;00010;V;00002;V;00002;V;00100;V;00090;V;00114;V
28;079;4;7;28079004_7_8;2018;02;00092;V;00023;V;00020;V;00003;V;00013;V;00013;V;00040;V;00036;V;00069;V;00022;V;00035;V;00011;V;00044;V;00004;V;00023;V;00026;V;00024;V;00008;V;00025;V;00040;V;00005;V;00042;V;00040;V;00054;V;00050;V;00075;V;00033;V;00030;V;00000;N;00000;N;00000;N
28;079;4;7;28079004_7_8;2018;03;00005;V;00026;V;00003;V;00002;V;00003;V;00005;V;00006;V;00009;V;00016;V;00004;V;00001;V;00001;V;00007;V;00018;V;00002;V;00002;V;00001;V;00001;V;00004;V;00003;V;00003;V;00018;V;00017;V;00001;V;00002;V;00016;V;00012;V;00041;V;00001;V;00001;V;00001;V
28;079;4;7;28079004_7_8;2018;04;00015;V;00016;V;00002;V;00002;V;00032;V;00037;V;00001;V;00001;V;00001;V;00002;V;00003;V;00004;V;00003;V;00024;V;00002;V;00003;V;00032;V;00042;V;00011;V;00003;V;00013;V;00018;V;00021;V;00024;V;00035;V;00012;V;00002;V;00001;V;00001;V;00001;V;00000;N
28;079;4;7;28079004_7_8;2018;05;00001;V;00003;V;00029;V;00005;V;00011;V;00002;V;00022;V;00034;V;00016;V;00007;V;00008;V;00001;V;00001;V;00002;V;00002;V;00002;V;00003;V;00004;V;00007;V;00001;V;00006;V;00011;V;00017;V;00008;V;00007;V;00004;V;00013;V;00006;V;00023;V;00008;V;00012;V
28;079;4;7;28079004_7_8;2018;06;00021;V;00006;V;00005;V;00004;V;00005;V;00012;V;00024;V;00014;V;00015;V;00013;V;00005;V;00017;V;00010;V;00011;V;00023;V;00011;V;00007;V;00013;V;00009;V;00010;V;00016;V;00021;V;00006;V;00005;V;00014;V;00012;V;00007;V;00014;V;00008;V;00006;V;00000;N
28;079;4;7;28079004_7_8;2018;07;00003;V;00004;V;00013;V;00014;V;00014;V;00016;V;00024;V;00007;V;00010;V;00009;V;00009;V;00007;V;00007;V;00004;V;00004;V;00007;V;00014;V;00007;V;00015;V;00019;V;00005;V;00010;V;00008;V;00006;V;00019;V;00022;V;00016;V;00004;V;00003;V;00016;V;00020;V
